jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,comparphil-chiwes,132052,0.7734,44
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,theodicies,62740,0.7725,45
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,enlightenment,121994,0.7724,46
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,kant,148977,0.7717,47
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,moral-psych-emp,128450,0.771,48
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,hume-religion,133148,0.7707,49
Miki Kiyoshi / 三木清,"人生論ノート (Notes on the Philosophy of Life, 1941)",72182,dewey-moral,73500,0.7703,50
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,rationalism-empiricism,75153,0.8619,1
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,consciousness-intentionality,197399,0.8485,2
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,universals-medieval,122355,0.847,3
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,idealism,328859,0.8422,4
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,antonio-rosmini,57060,0.8419,5
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,understanding,100196,0.8394,6
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,perception-episprob,123615,0.8357,7
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,authenticity,81400,0.835,8
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,existentialism,91940,0.8283,9
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,intentionality,107604,0.828,10
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,spinoza,91786,0.8247,11
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,broad,78488,0.8222,12
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,intuitionism-ethics,78046,0.8218,13
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,normativity-metaethics,171290,0.8207,14
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,metaphysics,101624,0.8198,15
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,self-knowledge,91103,0.8192,16
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,dilthey,85569,0.8184,17
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,dualism,131959,0.8184,18
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,innateness-history,50243,0.8164,19
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,knowledge-acquaindescrip,102664,0.8162,20
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,heinrich-rickert,108833,0.8161,21
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,naturalism,90017,0.815,22
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,nagarjuna,90278,0.8146,23
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,reid,181211,0.8143,24
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,consciousness-17th,89011,0.813,25
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,kant,148977,0.812,26
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,kant-transcendental-idealism,140523,0.8117,27
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,consciousness,153246,0.8115,28
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,materialism-eliminative,85469,0.8103,29
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,moral-phenomenology,110157,0.8088,30
Miki Kiyoshi / 三木清,"哲学入門 (Introduction to Philosophy, 1940)",110996,perception-problem,117930,0.8082,31
